image,tag,result,k,object_ratio,background_ratio,k_x_object_ratio,k_x_background_ratio,perturbed_pixel,pixel_perturbed_percentage,total_pixel
n01534433_junco,object,safe,25088.0,0.5240353954081632,0.47596460459183676,13147.0,11941.0,13147.0,26.2017697704,50176.0
n01537544_indigo_bunting,background,unknown,25088.0,0.7687340561224489,0.23126594387755106,19286.0,5802.000000000001,5802.000000000001,11.5632971939,50176.0
n01537544_indigo_bunting,object,safe,25088.0,0.7687340561224489,0.23126594387755106,19286.0,5802.000000000001,19286.0,38.4367028061,50176.0
n01537544_indigo_bunting,whole-image,unknown,25088.0,0.7687340561224489,0.23126594387755106,19286.0,5802.000000000001,25088.0,50.0,50176.0
n01558993_robin,whole-image,unknown,25088.0,0.5970982142857143,0.4029017857142857,14980.0,10108.0,25088.0,50.0,50176.0
n01558993_robin,background,safe,25088.0,0.5970982142857143,0.4029017857142857,14980.0,10108.0,10108.0,20.1450892857,50176.0
n01558993_robin,object,safe,25088.0,0.5970982142857143,0.4029017857142857,14980.0,10108.0,14980.0,29.8549107143,50176.0
n01560419_bulbul,whole-image,safe,25088.0,0.6496133609693877,0.3503866390306123,16297.499999999998,8790.500000000002,25088.0,50.0,50176.0
n01560419_bulbul,background,safe,25088.0,0.6496133609693877,0.3503866390306123,16297.499999999998,8790.500000000002,8790.500000000002,17.5193319515,50176.0
n01580077_jay,object,unsafe,25088.0,0.7780412946428571,0.2219587053571429,19519.5,5568.500000000001,19519.5,38.9020647321,50176.0
n01582220_magpie,whole-image,safe,25088.0,0.8391860650510204,0.16081393494897955,21053.5,4034.499999999999,25088.0,50.0,50176.0
n01582220_magpie,background,safe,25088.0,0.8391860650510204,0.16081393494897955,21053.5,4034.499999999999,4034.499999999999,8.0406967474,50176.0
n01582220_magpie,object,safe,25088.0,0.8391860650510204,0.16081393494897955,21053.5,4034.499999999999,21053.5,41.9593032526,50176.0
n01592084_chickadee,whole-image,safe,25088.0,0.6639030612244898,0.33609693877551017,16656.0,8432.0,25088.0,50.0,50176.0
n01560419_bulbul,object,safe,25088.0,0.6496133609693877,0.3503866390306123,16297.499999999998,8790.500000000002,16297.499999999998,32.4806680485,50176.0
n01580077_jay,whole-image,unsafe,25088.0,0.7780412946428571,0.2219587053571429,19519.5,5568.500000000001,25088.0,50.0,50176.0
n01580077_jay,background,unsafe,25088.0,0.7780412946428571,0.2219587053571429,19519.5,5568.500000000001,5568.500000000001,11.0979352679,50176.0
n02085620_Chihuahua,whole-image,safe,1568.0,0.376953125,0.623046875,591.0625,976.9375,1568.0,3.125,50176.0
n02085620_Chihuahua,background,safe,1568.0,0.376953125,0.623046875,591.0625,976.9375,976.9375,1.9470214844,50176.0
n02085620_Chihuahua,object,safe,1568.0,0.376953125,0.623046875,591.0625,976.9375,591.0625,1.1779785156,50176.0
n02085782_Japanese_spaniel,whole-image,unsafe,1568.0,0.7737364477040817,0.22626355229591832,1213.21875,354.78124999999994,1568.0,3.125,50176.0
n02085782_Japanese_spaniel,background,unsafe,1568.0,0.7737364477040817,0.22626355229591832,1213.21875,354.78124999999994,354.78124999999994,0.7070736009,50176.0
n02085782_Japanese_spaniel,object,unsafe,1568.0,0.7737364477040817,0.22626355229591832,1213.21875,354.78124999999994,1213.21875,2.4179263991,50176.0
n02085936_Maltese_dog,whole-image,safe,1568.0,0.7213408801020408,0.2786591198979592,1131.0625,436.93750000000006,1568.0,3.125,50176.0
n02085936_Maltese_dog,background,safe,1568.0,0.7213408801020408,0.2786591198979592,1131.0625,436.93750000000006,436.93750000000006,0.8708097497,50176.0
n02085936_Maltese_dog,object,safe,1568.0,0.7213408801020408,0.2786591198979592,1131.0625,436.93750000000006,1131.0625,2.2541902503,50176.0
n02086079_Pekinese,whole-image,safe,1568.0,0.8430125956632653,0.15698740433673475,1321.84375,246.15625000000009,1568.0,3.125,50176.0
n02086079_Pekinese,background,safe,1568.0,0.8430125956632653,0.15698740433673475,1321.84375,246.15625000000009,246.15625000000009,0.4905856386,50176.0
n02086079_Pekinese,object,safe,1568.0,0.8430125956632653,0.15698740433673475,1321.84375,246.15625000000009,1321.84375,2.6344143614,50176.0
n02086240_Shih-Tzu,whole-image,unsafe,1568.0,0.9091198979591836,0.09088010204081642,1425.4999999999998,142.50000000000014,1568.0,3.125,50176.0
n02086240_Shih-Tzu,background,unsafe,1568.0,0.9091198979591836,0.09088010204081642,1425.4999999999998,142.50000000000014,142.50000000000014,0.2840003189,50176.0
n02086240_Shih-Tzu,object,unsafe,1568.0,0.9091198979591836,0.09088010204081642,1425.4999999999998,142.50000000000014,1425.4999999999998,2.8409996811,50176.0
n02086646_Blenheim_spaniel,whole-image,safe,1568.0,0.5211057079081632,0.47889429209183676,817.09375,750.90625,1568.0,3.125,50176.0
n02086646_Blenheim_spaniel,background,safe,1568.0,0.5211057079081632,0.47889429209183676,817.09375,750.90625,750.90625,1.4965446628,50176.0
n02086646_Blenheim_spaniel,object,safe,1568.0,0.5211057079081632,0.47889429209183676,817.09375,750.90625,817.09375,1.6284553372,50176.0
n02086910_papillon,whole-image,unsafe,1568.0,0.7560786033163265,0.24392139668367352,1185.53125,382.46875000000006,1568.0,3.125,50176.0
n02086910_papillon,background,unsafe,1568.0,0.7560786033163265,0.24392139668367352,1185.53125,382.46875000000006,382.46875000000006,0.7622543646,50176.0
n02086910_papillon,object,unsafe,1568.0,0.7560786033163265,0.24392139668367352,1185.53125,382.46875000000006,1185.53125,2.3627456354,50176.0
n02088094_Afghan_hound,whole-image,safe,1568.0,0.6546954719387755,0.34530452806122447,1026.5625,541.4375,1568.0,3.125,50176.0
n02088094_Afghan_hound,background,safe,1568.0,0.6546954719387755,0.34530452806122447,1026.5625,541.4375,541.4375,1.0790766502,50176.0
n02088094_Afghan_hound,object,safe,1568.0,0.6546954719387755,0.34530452806122447,1026.5625,541.4375,1026.5625,2.0459233498,50176.0
n02088238_basset,whole-image,safe,1568.0,0.5666454081632653,0.43335459183673475,888.4999999999999,679.5000000000001,1568.0,3.125,50176.0
n02088238_basset,background,safe,1568.0,0.5666454081632653,0.43335459183673475,888.4999999999999,679.5000000000001,679.5000000000001,1.3542330995,50176.0
n02088238_basset,object,safe,1568.0,0.5666454081632653,0.43335459183673475,888.4999999999999,679.5000000000001,888.4999999999999,1.7707669005,50176.0
n02088364_beagle,whole-image,safe,1568.0,0.8089325573979592,0.19106744260204078,1268.40625,299.59374999999994,1568.0,3.125,50176.0
n02088364_beagle,background,safe,1568.0,0.8089325573979592,0.19106744260204078,1268.40625,299.59374999999994,299.59374999999994,0.5970857581,50176.0
n02088364_beagle,object,safe,1568.0,0.8089325573979592,0.19106744260204078,1268.40625,299.59374999999994,1268.40625,2.5279142419,50176.0
n02088466_bloodhound,whole-image,safe,1568.0,0.4754464285714285,0.5245535714285715,745.4999999999999,822.5000000000001,1568.0,3.125,50176.0
n02088466_bloodhound,background,safe,1568.0,0.4754464285714285,0.5245535714285715,745.4999999999999,822.5000000000001,822.5000000000001,1.6392299107,50176.0
n02088466_bloodhound,object,safe,1568.0,0.4754464285714285,0.5245535714285715,745.4999999999999,822.5000000000001,745.4999999999999,1.4857700893,50176.0
n02088632_bluetick,whole-image,safe,1568.0,0.4688097895408163,0.5311902104591837,735.09375,832.90625,1568.0,3.125,50176.0
n02088632_bluetick,background,safe,1568.0,0.4688097895408163,0.5311902104591837,735.09375,832.90625,832.90625,1.6599694077,50176.0
n02088632_bluetick,object,safe,1568.0,0.4688097895408163,0.5311902104591837,735.09375,832.90625,735.09375,1.4650305923,50176.0
n02089078_black-and-tan_coonhound,whole-image,unsafe,1568.0,0.796875,0.203125,1249.5,318.5,1568.0,3.125,50176.0
n02089078_black-and-tan_coonhound,background,unsafe,1568.0,0.796875,0.203125,1249.5,318.5,318.5,0.634765625,50176.0
n02089078_black-and-tan_coonhound,object,unsafe,1568.0,0.796875,0.203125,1249.5,318.5,1249.5,2.490234375,50176.0
n02089867_Walker_hound,whole-image,unsafe,1568.0,0.9300860969387756,0.06991390306122436,1458.3750000000002,109.6249999999998,1568.0,3.125,50176.0
n02089867_Walker_hound,background,unsafe,1568.0,0.9300860969387756,0.06991390306122436,1458.3750000000002,109.6249999999998,109.6249999999998,0.2184809471,50176.0
